Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xba85deb826b396b814521462e690a3962020b720fa59a40db48841b1ab2ec8fe","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0x870c77ba2e0f059a24573be787d6db6ae50b1231","Binance Dep: 0x870C77ba2E0f059a24573be787d6DB6Ae50B1231","0.048461915 ETH","$186.21","0.00018737"
"0x61c7f6f27f20c1c4395777f4a079716893fb121f334bc15976988b5ac7dac24e","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0xbd34d8fc110aefd5826a641a9571a9e2b2a275f8","OKX Dep: 0xBD34D8fc110aEfD5826a641a9571A9E2B2a275F8","0.048631259 ETH","$186.86","0.00018737"
"0xa5648d3adafab4f888dd03d74194f8f642d85868a95747b3877c587f5e94128f","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0xbe78de34e6fb2bbc3e1bb421de2a2e6ab8ee2c82","","0.049239675 ETH","$189.20","0.00018737"
"0x9d1eb6bf7b366502fc9a189c2344dfbb1aad2db746fa818314d76074211a9585","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0xe2b19b0b0230804b9fdd3928993de9b3a0d00628","","0.050027289 ETH","$192.23","0.00018737"
"0x5b2e677fbbae48a9f15831305b97d359bb01a6029ece9accafb8480f9f116347","Success","Transfer","15479088","2022-09-05 17:21:56","0x2819c144d5946404c0516b6f817a960db37d4929","Remitano 2","0x4f987117becbdc26f238daae8e0a5ad1900e48ab","","0.02377915 ETH","$91.37","0.00018737"
"0x1799dd9da68fdf9cf0ae27eaff4ff5d474ee35eca7272687e25f3c9bd731fb1d","Success","Transfer","15479088","2022-09-05 17:21:56","0x9d0b1963482689630b254bf96cf9c60307bc1fb8","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x696090a63d0a36a8de10520d96c9556c89c6ed9f3378220f832cf8f7701e7927","Success","Transfer","15479088","2022-09-05 17:21:56","0xe4d1149450d81702b47f9055750e0ceb0452efb4","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xf18d92d8309789a609d65ca38c8a3aa486e8f0354c8248e62008877393905481","Success","Transfer","15479088","2022-09-05 17:21:56","0xc83c4449bfc09aac2b4a6c4676e34b9fae3f804f","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x99a30c1203c74ba13b144cdf118a340d0aab5885fd666f3c81b30e4b054774ff","Success","Transfer","15479088","2022-09-05 17:21:56","0x8f4b269b54e0fc867027ea5878a34ebe78de0138","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x58d02cf982faa4cce388c919a05dba2a6588b015c53264d8ad1c037209990bc4","Success","Transfer","15479088","2022-09-05 17:21:56","0x36e83a97bf311d0138bfacef6987db7bd3222e69","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x3c93199b056f172ec6c2ff2bb9612ead8817ece2c10f3cde9de85ad92fc118ec","Success","Transfer","15479088","2022-09-05 17:21:56","0x1358fd10ef768052910f340f10b89ddb4caafdea","","0x34e3d4b0d2318a57cb41db3e63747675d8eb74e3","Binance Dep: 0x34e3d4b0d2318A57cb41DB3E63747675d8EB74E3","0.00056534 ETH","$2.17","0.000189"
"0xb05149a555ea1c2a4142fa84560f635b0e4f77c0ae9cb6a3a6268e016fe1bcd6","Success","Transfer","15479088","2022-09-05 17:21:56","0xbd8ba47b1e0c30927e80a73759dcbf8706ff77a4","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xcb42be06e8021e2377ca04249be4f99bc44a9d2b476bd1d62a2c8dbd5a2a0954","Success","Transfer","15479088","2022-09-05 17:21:56","0x7ed060ab3bc01564f206f99136a723fc01fafe8d","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xf217c4cfac03f86d3dd0b82ea4ce591142f0f087e60edfb575d14ffebf27bf6d","Success","Transfer","15479088","2022-09-05 17:21:56","0x34dc5cd1f27826cd9e860c3497708be1f9e5516f","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xec2b0ac297541a92bc2ffa37081e69cf507a137616a729a18227e8acfab7a539","Success","Transfer","15479088","2022-09-05 17:21:56","0x93bcd94a9372e658ec79965516614cc35b61bd19","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xa92a83dcff166f1f876078ab1a1b2bc963acc3db573dbfafb04f2ff455b6731c","Success","Transfer","15479088","2022-09-05 17:21:56","0x9f6850b7ed0674fea9043c61b0efe4c69c56d14b","","0x6229ec62b6cee15a26365c0bf4e5dcb4f48b1169","","0.06 ETH","$230.55","0.000189"
"0x03c4dd9cd3222a1db0839d9ce36b06aeb6dc62f687c8532fa5a682b44ec02cc3","Success","Transfer","15479088","2022-09-05 17:21:56","0xda571565f82153c64d520fca5feab6e896d4f504","","0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3","WhiteBIT","0.001906601 ETH","$7.33","0.000189"
